document_id,designation,document_has_critical_error,document_has_line_item_critical_error,weighted_critical_loss,R0_raw_confidence_risk,R1_current_heuristic_risk,R4_learned_risk,R4_platt_probability,R4_isotonic_probability,latency_seconds,predicted_line_item_count,reason_codes,reason_code_scope
cord-v2-test-00000,RETROSPECTIVE_LOCKED_BENCHMARK,True,True,0.723404255319149,0.05850362777709961,0.3585036277770996,0.3146414990267551,0.10039823984957541,0.14285714285714285,4.615598874999705,1,foreground_density_below_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00001,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,0.005645632743835449,0.005645632743835449,0.19426202330867598,0.09746971199715405,0.0,0.37763024599917117,3,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00002,RETROSPECTIVE_LOCKED_BENCHMARK,True,True,0.5454545454545454,0.07684981822967529,0.07684981822967529,0.3146414990267551,0.10039823984957541,0.14285714285714285,0.42658379199929186,2,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00003,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,0.0006320476531982422,0.0006320476531982422,0.15712068250091363,0.09658165590951029,0.0,0.3815052829995693,1,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_above_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00004,RETROSPECTIVE_LOCKED_BENCHMARK,True,False,0.18181818181818182,0.07119983434677124,0.07119983434677124,0.7032395642690323,0.11039092194708565,0.5,0.5671524300014426,3,foreground_density_below_development_median;missing_discount_below_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00005,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,0.01390230655670166,0.01390230655670166,0.5585025958086206,0.10657106501086847,0.5,0.34191220899811015,1,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00006,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,0.00440216064453125,0.00440216064453125,0.19426202330867598,0.09746971199715405,0.0,0.6557180800009519,3,foreground_density_below_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00007,RETROSPECTIVE_LOCKED_BENCHMARK,True,True,0.3404255319148936,0.0019918084144592285,0.0019918084144592285,0.19426202330867598,0.09746971199715405,0.0,0.5378643189978902,2,foreground_density_below_development_median;missing_discount_above_development_median;sequence_confidence_above_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00008,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,0.004000365734100342,0.004000365734100342,0.39916261792623675,0.10250089158891548,0.14285714285714285,0.6169116189994384,1,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_above_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00009,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.11538461538461539,0.01575559377670288,0.01575559377670288,0.4668472275967783,0.10421273178246807,0.2945646754148512,0.30280082799799857,1,foreground_density_below_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00010,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,0.00012695789337158203,0.00012695789337158203,0.23653790533514427,0.09848939321579031,0.0,0.31383571000333177,1,foreground_density_below_development_median;missing_discount_above_development_median;sequence_confidence_above_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00011,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,0.0006428360939025879,0.0006428360939025879,0.39916261792623675,0.10250089158891548,0.14285714285714285,0.3076594939993811,1,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_above_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00012,RETROSPECTIVE_LOCKED_BENCHMARK,True,True,0.6666666666666666,0.03548508882522583,0.03548508882522583,0.3146414990267551,0.10039823984957541,0.14285714285714285,0.5376217019984324,2,foreground_density_below_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00013,RETROSPECTIVE_LOCKED_BENCHMARK,True,True,0.639344262295082,0.039916276931762695,0.039916276931762695,0.37105057872427183,0.10179724772163075,0.14285714285714285,0.571513947998028,2,foreground_density_below_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00014,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,0.02658170461654663,0.3265817046165466,0.3146414990267551,0.10039823984957541,0.14285714285714285,1.1092456819969811,6,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00015,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,0.0012038350105285645,0.0012038350105285645,0.39916261792623675,0.10250089158891548,0.14285714285714285,0.40304795100018964,2,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_above_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00016,RETROSPECTIVE_LOCKED_BENCHMARK,True,True,0.63,0.016689062118530273,0.016689062118530273,0.6191360552058423,0.108156913814518,0.5,0.9501250579996849,4,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00017,RETROSPECTIVE_LOCKED_BENCHMARK,True,True,0.2222222222222222,0.04301285743713379,0.04301285743713379,0.8671933558773466,0.11486230218062489,0.5,0.8798966390022542,5,foreground_density_above_development_median;missing_discount_below_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00018,RETROSPECTIVE_LOCKED_BENCHMARK,True,True,0.6944444444444444,0.03299236297607422,0.03299236297607422,0.4668472275967783,0.10421273178246807,0.2945646754148512,0.2456595820003713,1,foreground_density_below_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00019,RETROSPECTIVE_LOCKED_BENCHMARK,True,True,0.3333333333333333,0.028947174549102783,0.32894717454910277,0.5585025958086206,0.10657106501086847,0.5,0.2950820600017323,2,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00020,RETROSPECTIVE_LOCKED_BENCHMARK,True,True,0.41025641025641024,0.02884840965270996,0.32884840965270995,0.3146414990267551,0.10039823984957541,0.14285714285714285,0.9600920020020567,5,foreground_density_below_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00021,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,0.016951799392700195,0.016951799392700195,0.5585025958086206,0.10657106501086847,0.5,0.5391671489996952,2,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00022,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,9.530782699584961e-05,9.530782699584961e-05,0.19426202330867598,0.09746971199715405,0.0,0.5609915019995242,2,foreground_density_below_development_median;missing_discount_above_development_median;sequence_confidence_above_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00023,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,2.2709369659423828e-05,2.2709369659423828e-05,0.19426202330867598,0.09746971199715405,0.0,0.43949617099860916,2,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_above_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00024,RETROSPECTIVE_LOCKED_BENCHMARK,True,True,0.8507462686567164,0.033918142318725586,0.033918142318725586,0.37105057872427183,0.10179724772163075,0.14285714285714285,0.647830325000541,3,foreground_density_below_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00025,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,1.3172626495361328e-05,1.3172626495361328e-05,0.39916261792623675,0.10250089158891548,0.14285714285714285,0.6264180940015649,3,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_above_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00026,RETROSPECTIVE_LOCKED_BENCHMARK,True,True,0.3176470588235294,0.017299890518188477,0.017299890518188477,0.4944572870970085,0.10491825535974518,0.3564495562014869,0.8610106229971279,4,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
cord-v2-test-00027,RETROSPECTIVE_LOCKED_BENCHMARK,False,False,0.0,0.018355190753936768,0.018355190753936768,0.26196756913358904,0.09910731638318093,0.0,0.5016920759990171,2,foreground_density_above_development_median;missing_discount_above_development_median;sequence_confidence_below_development_median,descriptive median direction for globally important features; not causal
